,esn,wash_date_gp,wash_type,source_type_gp,engine_family_gp
172,706912,2020-08-28,WW,FDM,CF6
173,958297,2020-01-18,WW,FDM,GENX
174,960147,2020-03-28,WW,FDM,CFM56
175,962557,2020-08-30,WW,RDO,CFM56-7B
176,963973,2020-07-03,WW,FDM,CFM56
177,643832,2020-07-14,WW,FDM,CFM56
178,811454,2020-06-04,WW,RDO,CF6
179,963529,2020-03-25,WW,FDM,CFM56
180,699170,2020-08-07,WW,FDM,CFM56
181,706790,2020-05-07,WW,FDM,CF6
182,804378,2020-08-25,WW,RDO,CFM56-7B
183,804759,2020-05-04,WW,FDM,CFM56
184,569345,2020-08-02,WW,FDM,CFM56
185,658498,2020-07-31,WW,FDM,CFM56-7B
186,994894,2020-03-29,WW,FDM,CF34
187,902507,2020-09-02,WW,RDO,CF34
188,959733,2020-08-26,WW,RDO,GENX-2B
189,706784,2020-04-23,WW,FDM,CF6
190,994580,2020-07-22,WW,FDM,CF34
191,706823,2020-05-14,WW,FDM,CF6
192,994404,2020-08-21,WW,FDM,CF34
193,658184,2020-07-10,WW,FDM,CFM56
194,725685,2020-03-23,WW,RDO,CFM56
195,729998,2020-08-25,WW,RDO,CFM56-5B
