,esn,wash_date,wash_type,source_type,engine_family
2123,658539,2016-09-11,WW,RDO,CFM56
2124,695592,2013-03-01,WW,RDO,CF6
2125,906160,2017-08-31,WW,RDO,GE90
2126,577437,2015-01-30,WW,FDM,CFM56
2127,704282,2014-08-04,WW,RDO,CF6
2128,704282,2017-02-15,WW,RDO,CF6
2129,785410,2011-12-10,WW,RDO,CT7
2130,785410,2012-02-19,WW,RDO,CT7
2131,785410,2012-03-25,WW,RDO,CT7
2132,785410,2012-07-10,WW,RDO,CT7
2133,785410,2015-01-05,WW,RDO,CT7
2134,785410,2015-06-30,WW,RDO,CT7
2135,706504,2016-07-20,WW,RDO,CF6
2136,706504,2016-09-28,WW,RDO,CF6
2137,706504,2017-07-08,WW,RDO,CF6
2138,706504,2018-01-27,WW,RDO,CF6
2139,731537,2010-10-17,WW,RDO,CFM56
2140,731537,2016-12-27,WW,RDO,CFM56
2141,731537,2017-05-31,WW,RDO,CFM56
2142,731537,2018-05-01,WW,RDO,CFM56
2143,858797,2010-10-18,WW,RDO,CFM56
2144,858797,2012-11-02,WW,RDO,CFM56
2145,858797,2016-08-31,WW,RDO,CFM56
2146,858797,2017-09-22,WW,RDO,CFM56
2147,874346,2011-02-06,WW,RDO,CFM56
2148,874346,2011-10-06,WW,RDO,CFM56
2149,874346,2012-05-26,WW,RDO,CFM56
2150,874346,2013-05-14,WW,RDO,CFM56
2151,874346,2013-09-24,WW,RDO,CFM56
2152,874346,2014-09-29,WW,RDO,CFM56
2153,874346,2016-11-08,WW,RDO,CFM56
2154,858356,2014-06-27,WW,RDO,CFM56
2155,858356,2016-08-24,WW,RDO,CFM56
2156,802162,2011-04-22,WW,RDO,CFM56
2157,802162,2011-11-04,WW,RDO,CFM56
2158,802162,2012-05-12,WW,RDO,CFM56
2159,802162,2012-11-13,WW,RDO,CFM56
2160,802162,2013-05-24,WW,RDO,CFM56
2161,802162,2013-11-15,WW,RDO,CFM56
2162,802162,2014-03-25,WW,RDO,CFM56
2163,802162,2014-07-22,WW,RDO,CFM56
2164,802162,2014-11-22,WW,RDO,CFM56
2165,802162,2015-06-21,WW,RDO,CFM56
2166,802162,2015-08-29,WW,RDO,CFM56
2167,894640,2010-12-10,WW,RDO,CFM56
2168,890451,2011-12-19,WW,RDO,CFM56
2169,896781,2011-03-17,WW,RDO,CFM56
2170,896781,2011-09-22,WW,RDO,CFM56
2171,896781,2012-03-31,WW,RDO,CFM56
2172,896781,2012-10-11,WW,RDO,CFM56
2173,896781,2013-04-08,WW,RDO,CFM56
2174,896781,2013-10-05,WW,RDO,CFM56
2175,896781,2014-02-25,WW,RDO,CFM56
2176,896781,2014-07-06,WW,RDO,CFM56
2177,906188,2017-01-11,WW,RDO,GE90
2178,906188,2017-11-17,WW,RDO,GE90
2179,892787,2012-04-06,WW,FDM,CFM56
2180,906122,2016-10-30,WW,RDO,GE90
2181,906122,2017-01-01,WW,RDO,GE90
2182,906122,2017-10-23,WW,RDO,GE90
2183,962604,2014-09-10,WW,RDO,CFM56
2184,962604,2016-07-06,WW,RDO,CFM56
2185,962604,2016-10-12,WW,RDO,CFM56
2186,963736,2013-10-28,WW,RDO,CFM56
2187,963736,2014-05-07,WW,RDO,CFM56
2188,963736,2014-11-08,WW,RDO,CFM56
2189,963736,2016-11-12,WW,RDO,CFM56
2190,575249,2014-02-26,WW,RDO,CFM56
2191,706785,2011-02-13,WW,RDO,CF6
2192,894121,2011-03-26,WW,RDO,CFM56
2193,894121,2011-10-08,WW,RDO,CFM56
2194,894121,2012-05-02,WW,RDO,CFM56
2195,894121,2012-11-29,WW,RDO,CFM56
